Jurisdiction of Occurrence,MMWR Year,MMWR Week,covid19_u071_multi,covid19_u071_underlying
Georgia,2020,10,,
Georgia,2020,11,,
Georgia,2020,12,43,41
Georgia,2020,13,98,94
Georgia,2020,14,221,213
Georgia,2020,15,217,204
Georgia,2020,16,269,250
Georgia,2020,17,260,236
Georgia,2020,18,275,255
Georgia,2020,19,209,185
Georgia,2020,20,198,173
Georgia,2020,21,156,144
Georgia,2020,22,145,125
Georgia,2020,23,123,106
Georgia,2020,24,119,105
Georgia,2020,25,96,78
Georgia,2020,26,129,116
Georgia,2020,27,150,128
Georgia,2020,28,226,203
Georgia,2020,29,297,266
Georgia,2020,30,377,347
Georgia,2020,31,419,386
Georgia,2020,32,473,427
Georgia,2020,33,427,406
Georgia,2020,34,413,378
Georgia,2020,35,347,324
Georgia,2020,36,261,245
Georgia,2020,37,261,241
Georgia,2020,38,225,199
Georgia,2020,39,220,201
Georgia,2020,40,167,149
Georgia,2020,41,167,150
Georgia,2020,42,155,142
Georgia,2020,43,174,159
Georgia,2020,44,204,190
Georgia,2020,45,216,202
Georgia,2020,46,233,219
Georgia,2020,47,220,207
Georgia,2020,48,252,226
Georgia,2020,49,294,264
Georgia,2020,50,342,304
Georgia,2020,51,385,345
Georgia,2020,52,497,464
Georgia,2020,53,687,634
Georgia,2021,1,834,787
Georgia,2021,2,991,920
Georgia,2021,3,928,869
Georgia,2021,4,879,803
Georgia,2021,5,720,667
Georgia,2021,6,482,447
Georgia,2021,7,407,367
Georgia,2021,8,314,277
Georgia,2021,9,256,226
Georgia,2021,10,185,151
Georgia,2021,11,173,142
Georgia,2021,12,119,103
Georgia,2021,13,137,119
Georgia,2021,14,124,106
Georgia,2021,15,124,97
Georgia,2021,16,119,94
Georgia,2021,17,111,90
Georgia,2021,18,111,91
Georgia,2021,19,71,63
Georgia,2021,20,88,79
Georgia,2021,21,80,71
Georgia,2021,22,67,55
Georgia,2021,23,68,56
Georgia,2021,24,43,38
Georgia,2021,25,39,27
Georgia,2021,26,40,29
Georgia,2021,27,39,28
Georgia,2021,28,50,41
Georgia,2021,29,77,66
Georgia,2021,30,116,103
Georgia,2021,31,242,225
Georgia,2021,32,463,440
Georgia,2021,33,649,622
Georgia,2021,34,804,759
Georgia,2021,35,866,819
Georgia,2021,36,778,737
Georgia,2021,37,579,553
Georgia,2021,38,334,318
Hawaii,2020,1,0,0
Hawaii,2020,2,0,0
Hawaii,2020,3,0,0
Hawaii,2020,4,0,0
Hawaii,2020,5,0,0
Hawaii,2020,6,0,0
Hawaii,2020,7,0,0
Hawaii,2020,8,0,0
Hawaii,2020,9,0,0
Hawaii,2020,10,0,0
Hawaii,2020,11,0,0
Hawaii,2020,12,0,0
Hawaii,2020,13,0,0
Hawaii,2020,14,,
Hawaii,2020,15,,
Hawaii,2020,16,,
Hawaii,2020,17,,
Hawaii,2020,18,,
Hawaii,2020,19,0,0
Hawaii,2020,20,0,0
Hawaii,2020,21,0,0
Hawaii,2020,22,0,0
Hawaii,2020,23,0,0
Hawaii,2020,24,0,0
Hawaii,2020,25,0,0
Hawaii,2020,26,,
Hawaii,2020,27,,
Hawaii,2020,28,,0
Hawaii,2020,29,,
Hawaii,2020,30,,
Hawaii,2020,31,,0
Hawaii,2020,32,,
Hawaii,2020,33,13,
Hawaii,2020,34,14,14
Hawaii,2020,35,35,31
Hawaii,2020,36,31,28
Hawaii,2020,37,34,31
Hawaii,2020,38,32,29
Hawaii,2020,39,26,24
Hawaii,2020,40,20,18
Hawaii,2020,41,20,19
Hawaii,2020,42,18,17
Hawaii,2020,43,14,13
Hawaii,2020,44,11,10
Hawaii,2020,45,,
Hawaii,2020,46,,
Hawaii,2020,47,,
Hawaii,2020,48,,
Hawaii,2020,49,13,13
Hawaii,2020,50,,
Hawaii,2020,51,,
Hawaii,2020,52,,
Hawaii,2020,53,,
Hawaii,2021,1,,
Hawaii,2021,2,12,11
Hawaii,2021,3,14,13
Hawaii,2021,4,10,
Hawaii,2021,5,,
Hawaii,2021,6,,
Hawaii,2021,7,,
Hawaii,2021,8,,
Hawaii,2021,9,,
Hawaii,2021,10,,
Hawaii,2021,11,,
Hawaii,2021,12,,
Hawaii,2021,13,,
Hawaii,2021,14,,
Hawaii,2021,15,,
Hawaii,2021,16,,
Hawaii,2021,17,,
Hawaii,2021,18,,
Hawaii,2021,19,,
Hawaii,2021,20,,
Hawaii,2021,21,,
Hawaii,2021,22,,
Hawaii,2021,23,,
Hawaii,2021,24,,
Hawaii,2021,25,,
Hawaii,2021,26,,
Hawaii,2021,27,,
Hawaii,2021,28,,
Hawaii,2021,29,,
Hawaii,2021,30,,
Hawaii,2021,31,15,14
Hawaii,2021,32,21,20
Hawaii,2021,33,32,32
Hawaii,2021,34,46,43
Hawaii,2021,35,46,41
Hawaii,2021,36,45,44
Hawaii,2021,37,33,29
Hawaii,2021,38,21,20
Idaho,2020,1,0,0
Idaho,2020,2,0,0
Idaho,2020,3,0,0
Idaho,2020,4,0,0
Idaho,2020,5,0,0
Idaho,2020,6,0,0
Idaho,2020,7,0,0
Idaho,2020,8,0,0
Idaho,2020,9,0,0
Idaho,2020,10,0,0
Idaho,2020,11,0,0
Idaho,2020,12,0,0
Idaho,2020,13,,
Idaho,2020,14,,
Idaho,2020,15,22,21
Idaho,2020,16,12,12
Idaho,2020,17,12,12
Idaho,2020,18,,
Idaho,2020,19,,
Idaho,2020,20,,
Idaho,2020,21,,
Idaho,2020,22,,
Idaho,2020,23,,
Idaho,2020,24,,
Idaho,2020,25,0,0
Idaho,2020,26,,
Idaho,2020,27,,
Idaho,2020,28,15,15
Idaho,2020,29,26,22
Idaho,2020,30,45,44
Idaho,2020,31,50,46
Idaho,2020,32,40,35
Idaho,2020,33,33,33
Idaho,2020,34,57,55
Idaho,2020,35,28,25
Idaho,2020,36,38,30
Idaho,2020,37,25,23
Idaho,2020,38,18,13
Idaho,2020,39,25,24
Idaho,2020,40,31,26
Idaho,2020,41,25,20
Idaho,2020,42,37,28
Idaho,2020,43,42,39
Idaho,2020,44,69,63
Idaho,2020,45,76,65
Idaho,2020,46,83,77
Idaho,2020,47,91,82
Idaho,2020,48,99,80
Idaho,2020,49,128,112
Idaho,2020,50,99,85
Idaho,2020,51,101,91
Idaho,2020,52,98,85
Idaho,2020,53,81,69
Idaho,2021,1,78,68
Idaho,2021,2,55,44
Idaho,2021,3,64,52
Idaho,2021,4,41,34
Idaho,2021,5,39,31
Idaho,2021,6,25,19
Idaho,2021,7,28,17
Idaho,2021,8,25,21
Idaho,2021,9,23,18
Idaho,2021,10,13,11
Idaho,2021,11,16,
Idaho,2021,12,12,
Idaho,2021,13,21,16
Idaho,2021,14,27,20
Idaho,2021,15,23,16
Idaho,2021,16,15,12
Idaho,2021,17,12,10
Idaho,2021,18,12,10
Idaho,2021,19,21,17
Idaho,2021,20,17,12
Idaho,2021,21,16,15
Idaho,2021,22,11,
Idaho,2021,23,15,13
Idaho,2021,24,11,10
Idaho,2021,25,14,12
Idaho,2021,26,,
Idaho,2021,27,,
Idaho,2021,28,10,10
Idaho,2021,29,18,17
Idaho,2021,30,19,17
Idaho,2021,31,30,27
Idaho,2021,32,42,38
Idaho,2021,33,45,44
Idaho,2021,34,76,69
Idaho,2021,35,89,86
Idaho,2021,36,105,101
Idaho,2021,37,135,123
Idaho,2021,38,88,85
Illinois,2020,1,0,0
Illinois,2020,2,0,0
Illinois,2020,3,0,0
Illinois,2020,4,0,0
Illinois,2020,5,0,0
Illinois,2020,6,0,0
Illinois,2020,7,0,0
Illinois,2020,8,0,0
Illinois,2020,9,0,0
Illinois,2020,10,0,0
Illinois,2020,11,,
Illinois,2020,12,14,14
Illinois,2020,13,73,72
Illinois,2020,14,299,293
Illinois,2020,15,469,459
Illinois,2020,16,591,569
Illinois,2020,17,677,657
Illinois,2020,18,741,703
Illinois,2020,19,789,756
Illinois,2020,20,699,671
Illinois,2020,21,574,539
Illinois,2020,22,470,443
Illinois,2020,23,430,400
Illinois,2020,24,319,294
Illinois,2020,25,270,235
Illinois,2020,26,150,130
Illinois,2020,27,147,132
Illinois,2020,28,111,100
Illinois,2020,29,89,80
Illinois,2020,30,82,75
Illinois,2020,31,90,82
Illinois,2020,32,98,85
Illinois,2020,33,104,86
Illinois,2020,34,98,81
Illinois,2020,35,132,122
Illinois,2020,36,119,103
Illinois,2020,37,119,96
Illinois,2020,38,131,104
Illinois,2020,39,142,119
Illinois,2020,40,150,117
Illinois,2020,41,189,155
Illinois,2020,42,229,190
Illinois,2020,43,266,220
Illinois,2020,44,333,294
Illinois,2020,45,513,466
Illinois,2020,46,675,621
Illinois,2020,47,941,841
Illinois,2020,48,941,826
Illinois,2020,49,1029,941
Illinois,2020,50,1039,916
Illinois,2020,51,923,828
Illinois,2020,52,875,786
Illinois,2020,53,802,697
Illinois,2021,1,646,577
Illinois,2021,2,567,501
Illinois,2021,3,476,429
Illinois,2021,4,445,402
Illinois,2021,5,346,299
Illinois,2021,6,329,289
Illinois,2021,7,222,199
Illinois,2021,8,208,175
Illinois,2021,9,143,129
Illinois,2021,10,124,104
Illinois,2021,11,118,100
Illinois,2021,12,121,113
Illinois,2021,13,118,104
Illinois,2021,14,132,123
Illinois,2021,15,179,168
Illinois,2021,16,199,178
Illinois,2021,17,195,174
Illinois,2021,18,209,189
Illinois,2021,19,178,161
Illinois,2021,20,187,167
Illinois,2021,21,126,109
Illinois,2021,22,120,112
Illinois,2021,23,103,97
Illinois,2021,24,72,60
Illinois,2021,25,62,54
Illinois,2021,26,45,34
Illinois,2021,27,44,39
Illinois,2021,28,43,39
Illinois,2021,29,44,36
Illinois,2021,30,75,67
Illinois,2021,31,92,85
Illinois,2021,32,117,109
Illinois,2021,33,198,188
Illinois,2021,34,215,199
Illinois,2021,35,239,224
Illinois,2021,36,283,258
Illinois,2021,37,256,238
Illinois,2021,38,191,177
Indiana,2020,1,0,0
Indiana,2020,2,0,0
Indiana,2020,3,0,0
Indiana,2020,4,0,0
Indiana,2020,5,0,0
Indiana,2020,6,0,0
Indiana,2020,7,0,0
Indiana,2020,8,0,0
Indiana,2020,9,0,0
Indiana,2020,10,0,0
Indiana,2020,11,0,0
Indiana,2020,12,15,14
Indiana,2020,13,52,48
Indiana,2020,14,160,148
Indiana,2020,15,238,230
Indiana,2020,16,274,254
Indiana,2020,17,312,286
Indiana,2020,18,294,275
Indiana,2020,19,263,244
Indiana,2020,20,257,239
Indiana,2020,21,201,181
Indiana,2020,22,146,136
Indiana,2020,23,139,128
Indiana,2020,24,127,114
Indiana,2020,25,115,104
Indiana,2020,26,83,64
Indiana,2020,27,66,57
Indiana,2020,28,82,73
Indiana,2020,29,64,59
Indiana,2020,30,77,66
Indiana,2020,31,79,68
Indiana,2020,32,77,70
Indiana,2020,33,102,92
Indiana,2020,34,98,90
Indiana,2020,35,79,69
Indiana,2020,36,74,67
Indiana,2020,37,90,79
Indiana,2020,38,99,87
Indiana,2020,39,101,87
Indiana,2020,40,148,123
Indiana,2020,41,142,125
Indiana,2020,42,202,189
Indiana,2020,43,209,189
Indiana,2020,44,264,249
Indiana,2020,45,336,292
Indiana,2020,46,378,343
Indiana,2020,47,543,497
Indiana,2020,48,614,560
Indiana,2020,49,640,589
Indiana,2020,50,741,670
Indiana,2020,51,690,630
Indiana,2020,52,616,548
Indiana,2020,53,662,594
Indiana,2021,1,555,500
Indiana,2021,2,487,442
Indiana,2021,3,428,372
Indiana,2021,4,377,331
Indiana,2021,5,293,248
Indiana,2021,6,196,162
Indiana,2021,7,159,125
Indiana,2021,8,131,102
Indiana,2021,9,109,76
Indiana,2021,10,80,55
Indiana,2021,11,60,39
Indiana,2021,12,55,40
Indiana,2021,13,61,44
Indiana,2021,14,58,41
Indiana,2021,15,80,63
Indiana,2021,16,58,46
Indiana,2021,17,76,64
Indiana,2021,18,84,64
Indiana,2021,19,82,67
Indiana,2021,20,86,70
Indiana,2021,21,77,65
Indiana,2021,22,73,63
Indiana,2021,23,56,44
Indiana,2021,24,49,36
Indiana,2021,25,45,36
Indiana,2021,26,32,27
Indiana,2021,27,38,30
Indiana,2021,28,32,23
Indiana,2021,29,31,23
Indiana,2021,30,50,38
Indiana,2021,31,76,66
Indiana,2021,32,105,97
Indiana,2021,33,159,151
Indiana,2021,34,196,179
Indiana,2021,35,212,195
Indiana,2021,36,276,258
Indiana,2021,37,248,226
Indiana,2021,38,130,124
Iowa,2020,1,0,0
Iowa,2020,2,0,0
Iowa,2020,3,0,0
Iowa,2020,4,0,0
Iowa,2020,5,0,0
Iowa,2020,6,0,0
Iowa,2020,7,0,0
Iowa,2020,8,0,0
Iowa,2020,9,0,0
Iowa,2020,10,0,0
Iowa,2020,11,0,0
Iowa,2020,12,0,0
Iowa,2020,13,,
Iowa,2020,14,17,16
Iowa,2020,15,22,21
Iowa,2020,16,36,36
Iowa,2020,17,52,49
Iowa,2020,18,69,66
Iowa,2020,19,92,85
Iowa,2020,20,103,98
Iowa,2020,21,101,93
Iowa,2020,22,91,86
Iowa,2020,23,70,67
Iowa,2020,24,40,35
Iowa,2020,25,32,27
Iowa,2020,26,20,19
Iowa,2020,27,21,18
Iowa,2020,28,26,20
Iowa,2020,29,42,39
Iowa,2020,30,47,41
Iowa,2020,31,51,49
Iowa,2020,32,53,49
Iowa,2020,33,57,48
Iowa,2020,34,63,57
Iowa,2020,35,77,65
Iowa,2020,36,59,50
Iowa,2020,37,61,53
Iowa,2020,38,48,46
Iowa,2020,39,57,54
Iowa,2020,40,83,69
Iowa,2020,41,100,93
Iowa,2020,42,115,106
Iowa,2020,43,130,117
Iowa,2020,44,137,128
Iowa,2020,45,257,235
Iowa,2020,46,308,278
Iowa,2020,47,424,395
Iowa,2020,48,402,371
Iowa,2020,49,411,375
Iowa,2020,50,335,305
Iowa,2020,51,297,255
Iowa,2020,52,231,203
Iowa,2020,53,191,166
Iowa,2021,1,215,189
Iowa,2021,2,165,136
Iowa,2021,3,138,113
Iowa,2021,4,115,91
Iowa,2021,5,94,75
Iowa,2021,6,73,55
Iowa,2021,7,60,44
Iowa,2021,8,53,39
Iowa,2021,9,44,32
Iowa,2021,10,42,27
Iowa,2021,11,37,20
Iowa,2021,12,29,26
Iowa,2021,13,20,17
Iowa,2021,14,32,26
Iowa,2021,15,26,16
Iowa,2021,16,29,20
Iowa,2021,17,23,14
Iowa,2021,18,21,16
Iowa,2021,19,31,23
Iowa,2021,20,18,13
Iowa,2021,21,22,20
Iowa,2021,22,15,10
Iowa,2021,23,,
Iowa,2021,24,13,12
Iowa,2021,25,10,
Iowa,2021,26,,
Iowa,2021,27,12,11
Iowa,2021,28,14,11
Iowa,2021,29,14,
Iowa,2021,30,16,16
Iowa,2021,31,27,20
Iowa,2021,32,35,31
Iowa,2021,33,47,42
Iowa,2021,34,49,44
Iowa,2021,35,73,67
Iowa,2021,36,66,60
Iowa,2021,37,80,77
Iowa,2021,38,55,50
Kansas,2020,1,0,0
Kansas,2020,2,,
Kansas,2020,3,0,0
Kansas,2020,4,0,0
Kansas,2020,5,0,0
Kansas,2020,6,0,0
Kansas,2020,7,0,0
Kansas,2020,8,0,0
Kansas,2020,9,0,0
Kansas,2020,10,0,0
Kansas,2020,11,,
Kansas,2020,12,,
Kansas,2020,13,,
Kansas,2020,14,21,20
Kansas,2020,15,36,32
Kansas,2020,16,42,38
Kansas,2020,17,22,20
Kansas,2020,18,25,21
Kansas,2020,19,34,27
Kansas,2020,20,27,23
Kansas,2020,21,10,
Kansas,2020,22,14,14
Kansas,2020,23,18,16
Kansas,2020,24,,
Kansas,2020,25,20,18
Kansas,2020,26,17,16
Kansas,2020,27,12,12
Kansas,2020,28,16,13
Kansas,2020,29,24,19
Kansas,2020,30,35,32
Kansas,2020,31,40,39
Kansas,2020,32,37,31
Kansas,2020,33,40,38
Kansas,2020,34,40,34
Kansas,2020,35,51,45
Kansas,2020,36,39,36
Kansas,2020,37,56,47
Kansas,2020,38,51,48
Kansas,2020,39,57,52
Kansas,2020,40,69,65
Kansas,2020,41,84,80
Kansas,2020,42,97,91
Kansas,2020,43,119,109
Kansas,2020,44,89,85
Kansas,2020,45,139,125
Kansas,2020,46,159,154
Kansas,2020,47,239,224
Kansas,2020,48,280,259
Kansas,2020,49,311,289
Kansas,2020,50,329,302
Kansas,2020,51,318,292
Kansas,2020,52,288,260
Kansas,2020,53,249,234
Kansas,2021,1,258,231
Kansas,2021,2,216,197
Kansas,2021,3,190,165
Kansas,2021,4,164,143
Kansas,2021,5,106,87
Kansas,2021,6,78,60
Kansas,2021,7,64,55
Kansas,2021,8,53,46
Kansas,2021,9,33,27
Kansas,2021,10,30,25
Kansas,2021,11,22,14
Kansas,2021,12,28,20
Kansas,2021,13,27,19
Kansas,2021,14,16,10
Kansas,2021,15,19,14
Kansas,2021,16,19,16
Kansas,2021,17,21,20
Kansas,2021,18,14,11
Kansas,2021,19,19,16
Kansas,2021,20,25,22
Kansas,2021,21,13,10
Kansas,2021,22,14,12
Kansas,2021,23,14,11
Kansas,2021,24,,
Kansas,2021,25,11,11
Kansas,2021,26,24,22
Kansas,2021,27,23,22
Kansas,2021,28,17,14
Kansas,2021,29,29,24
Kansas,2021,30,48,46
Kansas,2021,31,87,79
Kansas,2021,32,82,77
Kansas,2021,33,85,81
Kansas,2021,34,101,100
Kansas,2021,35,109,102
Kansas,2021,36,105,96
Kansas,2021,37,93,86
Kansas,2021,38,84,76
Kentucky,2020,1,0,0
Kentucky,2020,2,0,0
Kentucky,2020,3,0,0
Kentucky,2020,4,0,0
Kentucky,2020,5,0,0
Kentucky,2020,6,0,0
Kentucky,2020,7,0,0
Kentucky,2020,8,0,0
Kentucky,2020,9,0,0
Kentucky,2020,10,0,0
Kentucky,2020,11,0,0
Kentucky,2020,12,,
Kentucky,2020,13,,
Kentucky,2020,14,47,47
Kentucky,2020,15,53,53
Kentucky,2020,16,59,57
Kentucky,2020,17,67,63
Kentucky,2020,18,49,48
Kentucky,2020,19,63,62
Kentucky,2020,20,51,48
Kentucky,2020,21,49,46
Kentucky,2020,22,44,39
Kentucky,2020,23,39,38
Kentucky,2020,24,43,41
Kentucky,2020,25,26,24
Kentucky,2020,26,37,33
Kentucky,2020,27,36,27
Kentucky,2020,28,36,33
Kentucky,2020,29,38,32
Kentucky,2020,30,49,43
Kentucky,2020,31,47,45
Kentucky,2020,32,54,49
Kentucky,2020,33,64,55
Kentucky,2020,34,77,70
Kentucky,2020,35,72,63
Kentucky,2020,36,86,70
Kentucky,2020,37,72,64
Kentucky,2020,38,62,56
Kentucky,2020,39,71,66
Kentucky,2020,40,63,53
Kentucky,2020,41,91,82
Kentucky,2020,42,105,91
Kentucky,2020,43,142,126
Kentucky,2020,44,135,121
Kentucky,2020,45,169,151
Kentucky,2020,46,197,178
Kentucky,2020,47,300,259
Kentucky,2020,48,286,259
Kentucky,2020,49,353,319
Kentucky,2020,50,367,331
Kentucky,2020,51,367,331
Kentucky,2020,52,389,347
Kentucky,2020,53,352,313
Kentucky,2021,1,337,288
Kentucky,2021,2,326,288
Kentucky,2021,3,306,266
Kentucky,2021,4,269,227
Kentucky,2021,5,229,193
Kentucky,2021,6,199,170
Kentucky,2021,7,172,142
Kentucky,2021,8,161,140
Kentucky,2021,9,104,82
Kentucky,2021,10,108,88
Kentucky,2021,11,78,55
Kentucky,2021,12,83,65
Kentucky,2021,13,56,45
Kentucky,2021,14,53,39
Kentucky,2021,15,59,41
Kentucky,2021,16,60,44
Kentucky,2021,17,39,30
Kentucky,2021,18,53,39
Kentucky,2021,19,50,37
Kentucky,2021,20,42,31
Kentucky,2021,21,63,46
Kentucky,2021,22,43,32
Kentucky,2021,23,41,34
Kentucky,2021,24,31,24
Kentucky,2021,25,32,26
Kentucky,2021,26,31,23
Kentucky,2021,27,31,26
Kentucky,2021,28,34,25
Kentucky,2021,29,47,38
Kentucky,2021,30,73,64
Kentucky,2021,31,86,74
Kentucky,2021,32,146,133
Kentucky,2021,33,202,182
Kentucky,2021,34,239,223
Kentucky,2021,35,300,287
Kentucky,2021,36,255,239
Kentucky,2021,37,241,225
Kentucky,2021,38,118,108
Louisiana,2020,1,0,0
Louisiana,2020,2,0,0
Louisiana,2020,3,0,0
Louisiana,2020,4,0,0
Louisiana,2020,5,0,0
Louisiana,2020,6,0,0
Louisiana,2020,7,0,0
Louisiana,2020,8,,
Louisiana,2020,9,,
Louisiana,2020,10,,
Louisiana,2020,11,0,0
Louisiana,2020,12,41,40
Louisiana,2020,13,193,181
Louisiana,2020,14,393,369
Louisiana,2020,15,458,436
Louisiana,2020,16,395,383
Louisiana,2020,17,338,315
Louisiana,2020,18,268,253
Louisiana,2020,19,244,228
Louisiana,2020,20,171,160
Louisiana,2020,21,131,111
Louisiana,2020,22,121,106
Louisiana,2020,23,104,101
Louisiana,2020,24,73,68
Louisiana,2020,25,86,76
Louisiana,2020,26,74,69
Louisiana,2020,27,86,74
Louisiana,2020,28,120,110
Louisiana,2020,29,160,145
Louisiana,2020,30,228,210
Louisiana,2020,31,239,220
Louisiana,2020,32,253,231
Louisiana,2020,33,203,191
Louisiana,2020,34,200,179
Louisiana,2020,35,164,149
Louisiana,2020,36,117,105
Louisiana,2020,37,120,109
Louisiana,2020,38,95,81
Louisiana,2020,39,80,72
Louisiana,2020,40,74,68
Louisiana,2020,41,86,75
Louisiana,2020,42,76,68
Louisiana,2020,43,71,60
Louisiana,2020,44,79,65
Louisiana,2020,45,89,81
Louisiana,2020,46,77,69
Louisiana,2020,47,122,111
Louisiana,2020,48,150,138
Louisiana,2020,49,167,151
Louisiana,2020,50,243,221
Louisiana,2020,51,231,221
Louisiana,2020,52,251,224
Louisiana,2020,53,260,242
Louisiana,2021,1,319,286
Louisiana,2021,2,347,319
Louisiana,2021,3,320,303
Louisiana,2021,4,240,219
Louisiana,2021,5,226,210
Louisiana,2021,6,166,152
Louisiana,2021,7,156,142
Louisiana,2021,8,94,85
Louisiana,2021,9,81,78
Louisiana,2021,10,105,92
Louisiana,2021,11,57,51
Louisiana,2021,12,63,54
Louisiana,2021,13,54,51
Louisiana,2021,14,34,28
Louisiana,2021,15,50,41
Louisiana,2021,16,36,28
Louisiana,2021,17,45,42
Louisiana,2021,18,27,25
Louisiana,2021,19,42,39
Louisiana,2021,20,36,32
Louisiana,2021,21,46,42
Louisiana,2021,22,37,32
Louisiana,2021,23,30,28
Louisiana,2021,24,21,16
Louisiana,2021,25,34,31
Louisiana,2021,26,25,22
Louisiana,2021,27,24,23
Louisiana,2021,28,54,48
Louisiana,2021,29,92,84
Louisiana,2021,30,152,143
Louisiana,2021,31,291,275
Louisiana,2021,32,369,349
Louisiana,2021,33,383,359
Louisiana,2021,34,382,362
Louisiana,2021,35,319,307
Louisiana,2021,36,214,205
Louisiana,2021,37,164,159
Louisiana,2021,38,68,62
Maine,2020,1,0,0
Maine,2020,2,0,0
Maine,2020,3,0,0
Maine,2020,4,0,0
Maine,2020,5,0,0
Maine,2020,6,0,0
Maine,2020,7,0,0
Maine,2020,8,0,0
Maine,2020,9,0,0
Maine,2020,10,0,0
Maine,2020,11,0,0
Maine,2020,12,0,0
Maine,2020,13,,
Maine,2020,14,,
Maine,2020,15,12,12
Maine,2020,16,11,10
Maine,2020,17,18,18
Maine,2020,18,,
Maine,2020,19,,
Maine,2020,20,10,
Maine,2020,21,,
Maine,2020,22,13,13
Maine,2020,23,,
Maine,2020,24,,
Maine,2020,25,,
Maine,2020,26,,
Maine,2020,27,,
Maine,2020,28,,
Maine,2020,29,,
Maine,2020,30,,
Maine,2020,31,,
Maine,2020,32,,
Maine,2020,33,,
Maine,2020,34,,
Maine,2020,35,,
Maine,2020,36,,
Maine,2020,37,,
Maine,2020,38,,
Maine,2020,39,,
Maine,2020,40,,
Maine,2020,41,,
Maine,2020,42,,
Maine,2020,43,,
Maine,2020,44,,
Maine,2020,45,,
Maine,2020,46,16,14
Maine,2020,47,21,17
Maine,2020,48,31,20
Maine,2020,49,47,43
Maine,2020,50,49,44
Maine,2020,51,28,27
Maine,2020,52,46,42
Maine,2020,53,57,52
Maine,2021,1,49,45
Maine,2021,2,72,64
Maine,2021,3,54,47
Maine,2021,4,56,52
Maine,2021,5,32,26
Maine,2021,6,26,26
Maine,2021,7,25,19
Maine,2021,8,13,10
Maine,2021,9,,
Maine,2021,10,,
Maine,2021,11,11,
Maine,2021,12,11,
Maine,2021,13,10,
Maine,2021,14,11,10
Maine,2021,15,13,13
Maine,2021,16,17,15
Maine,2021,17,13,13
Maine,2021,18,16,14
Maine,2021,19,16,15
Maine,2021,20,14,14
Maine,2021,21,,
Maine,2021,22,10,10
Maine,2021,23,12,11
Maine,2021,24,,
Maine,2021,25,,
Maine,2021,26,,
Maine,2021,27,,
Maine,2021,28,,
Maine,2021,29,,
Maine,2021,30,,0
Maine,2021,31,,
Maine,2021,32,,
Maine,2021,33,10,
Maine,2021,34,17,17
Maine,2021,35,19,19
Maine,2021,36,35,34
Maine,2021,37,28,27
Maine,2021,38,34,31
Maryland,2020,1,0,0
Maryland,2020,2,0,0
Maryland,2020,3,0,0
Maryland,2020,4,0,0
Maryland,2020,5,0,0
Maryland,2020,6,0,0
Maryland,2020,7,0,0
Maryland,2020,8,0,0
Maryland,2020,9,0,0
Maryland,2020,10,0,0
Maryland,2020,11,0,0
Maryland,2020,12,,
Maryland,2020,13,18,18
Maryland,2020,14,86,83
Maryland,2020,15,212,198
Maryland,2020,16,299,282
Maryland,2020,17,392,360
Maryland,2020,18,426,400
Maryland,2020,19,414,385
Maryland,2020,20,390,357
Maryland,2020,21,298,276
Maryland,2020,22,292,263
Maryland,2020,23,234,213
Maryland,2020,24,191,171
Maryland,2020,25,135,115
Maryland,2020,26,115,102
Maryland,2020,27,91,72
Maryland,2020,28,74,60
Maryland,2020,29,62,53
Maryland,2020,30,67,62
Maryland,2020,31,79,61
Maryland,2020,32,72,60
Maryland,2020,33,61,53
Maryland,2020,34,59,47
Maryland,2020,35,57,44
Maryland,2020,36,55,48
Maryland,2020,37,38,27
Maryland,2020,38,49,42
Maryland,2020,39,49,40
Maryland,2020,40,41,35
Maryland,2020,41,51,45
Maryland,2020,42,43,34
Maryland,2020,43,63,55
Maryland,2020,44,65,55
Maryland,2020,45,79,69
Maryland,2020,46,103,88
Maryland,2020,47,159,138
Maryland,2020,48,236,220
Maryland,2020,49,263,236
Maryland,2020,50,352,313
Maryland,2020,51,370,322
Maryland,2020,52,327,284
Maryland,2020,53,349,309
Maryland,2021,1,311,281
Maryland,2021,2,337,291
Maryland,2021,3,348,306
Maryland,2021,4,300,266
Maryland,2021,5,246,212
Maryland,2021,6,250,217
Maryland,2021,7,200,171
Maryland,2021,8,162,137
Maryland,2021,9,100,87
Maryland,2021,10,114,89
Maryland,2021,11,124,100
Maryland,2021,12,96,84
Maryland,2021,13,122,103
Maryland,2021,14,127,104
Maryland,2021,15,117,96
Maryland,2021,16,131,113
Maryland,2021,17,120,99
Maryland,2021,18,88,76
Maryland,2021,19,79,66
Maryland,2021,20,82,69
Maryland,2021,21,63,52
Maryland,2021,22,36,34
Maryland,2021,23,31,26
Maryland,2021,24,26,17
Maryland,2021,25,23,16
Maryland,2021,26,15,10
Maryland,2021,27,,
Maryland,2021,28,16,11
Maryland,2021,29,19,12
Maryland,2021,30,20,18
Maryland,2021,31,28,22
Maryland,2021,32,31,25
Maryland,2021,33,58,45
Maryland,2021,34,62,56
Maryland,2021,35,87,81
Maryland,2021,36,105,93
Maryland,2021,37,106,88
Maryland,2021,38,84,75
Massachusetts,2020,1,0,0
Massachusetts,2020,2,0,0
Massachusetts,2020,3,0,0
Massachusetts,2020,4,0,0
Massachusetts,2020,5,0,0
Massachusetts,2020,6,0,0
Massachusetts,2020,7,0,0
Massachusetts,2020,8,,
